Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_Label,Indicator_Category_Label,Month_Week,Week_Ending,ND_Weekly_Estimate,CI_Half_width_95pct,n_unweighted,Suppression_Flag,Current_Season_Week_Ending,Influenza_Season,Legend,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort,Demographic_Name_Sort,Geographic_Sort,Season_Sort,Legend_Sort
National,National,Sexual Orientation,Straight,Up-to-date,Received a vaccination,October,,25.4,1,34469,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Sexual Orientation: Straight",24.4 - 26.4,1,12,33,1,2,2011233
National,National,Sexual Orientation,Gay/Lesbian/Bisexual/Other,Up-to-date,Received a vaccination,October,,23.6,3.1,3061,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Sexual Orientation: Gay/Lesbian/Bisexual/Other",20.5 - 26.7,1,12,32,1,2,2011232
National,National,Sexual Orientation,Don't Know/Refused,Up-to-date,Received a vaccination,October,,25.3,4,2344,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Sexual Orientation: Don't Know/Refused",21.3 - 29.3,1,12,39,1,2,2011239
National,National,Poverty Status,"Above Poverty, Income >= $75k",Up-to-date,Received a vaccination,October,,29.5,1.6,16002,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Poverty Status: Above Poverty, Income >= $75k",27.9 - 31.1,1,9,18,1,2,2010918
National,National,Poverty Status,"Above Poverty, Income < $75k",Up-to-date,Received a vaccination,October,,23.8,1.6,12450,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Poverty Status: Above Poverty, Income < $75k",22.2 - 25.4,1,9,19,1,2,2010919
National,National,Poverty Status,Below Poverty,Up-to-date,Received a vaccination,October,,17,2.6,3658,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Poverty Status: Below Poverty",14.4 - 19.6,1,9,20,1,2,2010920
National,National,Poverty Status,Poverty Status Unknown,Up-to-date,Received a vaccination,October,,24.2,2,8202,0,10/14/2023 12:00:00 AM,2022-2023,"2022-2023, National, Poverty Status: Poverty Status Unknown",22.2 - 26.2,1,9,21,1,2,2010921
National,National,Overall,Overall,Up-to-date,Received a vaccination,October,,24,0.7,62242,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Overall",23.3 - 24.7,1,1,1,1,1,1010101
State,Alabama,Overall,Overall,Up-to-date,Received a vaccination,October,,20.8,3,984,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Alabama, Overall",17.8 - 23.8,1,1,1,12,1,1120101
State,Alaska,Overall,Overall,Up-to-date,Received a vaccination,October,,24.1,4.3,524,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Alaska, Overall",19.8 - 28.4,1,1,1,13,1,1130101
State,Arizona,Overall,Overall,Up-to-date,Received a vaccination,October,,23,2.7,1166,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Arizona, Overall",20.3 - 25.7,1,1,1,14,1,1140101
State,Arkansas,Overall,Overall,Up-to-date,Received a vaccination,October,,21,3.3,869,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Arkansas, Overall",17.7 - 24.3,1,1,1,15,1,1150101
State,California,Overall,Overall,Up-to-date,Received a vaccination,October,,26.5,2.8,2041,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, California, Overall",23.7 - 29.3,1,1,1,16,1,1160101
State,Colorado,Overall,Overall,Up-to-date,Received a vaccination,October,,26.9,3.2,1156,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Colorado, Overall",23.7 - 30.1,1,1,1,17,1,1170101
State,Connecticut,Overall,Overall,Up-to-date,Received a vaccination,October,,27,3.8,760,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Connecticut, Overall",23.2 - 30.8,1,1,1,18,1,1180101
State,Delaware,Overall,Overall,Up-to-date,Received a vaccination,October,,25.9,3.1,911,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Delaware, Overall",22.8 - 29,1,1,1,19,1,1190101
State,District of Columbia,Overall,Overall,Up-to-date,Received a vaccination,October,,24.4,2.6,1352,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, District of Columbia, Overall",21.8 - 27,1,1,1,20,1,1200101
State,Florida,Overall,Overall,Up-to-date,Received a vaccination,October,,18.4,3.6,1157,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Florida, Overall",14.8 - 22,1,1,1,21,1,1210101
State,Georgia,Overall,Overall,Up-to-date,Received a vaccination,October,,20.5,2.7,1247,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Georgia, Overall",17.8 - 23.2,1,1,1,22,1,1220101
State,Hawaii,Overall,Overall,Up-to-date,Received a vaccination,October,,33.3,3.5,1113,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Hawaii, Overall",29.8 - 36.8,1,1,1,24,1,1240101
State,Idaho,Overall,Overall,Up-to-date,Received a vaccination,October,,25,3.3,788,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Idaho, Overall",21.7 - 28.3,1,1,1,25,1,1250101
State,Illinois,Overall,Overall,Up-to-date,Received a vaccination,October,,21.9,2.2,2075,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Illinois, Overall",19.7 - 24.1,1,1,1,26,1,1260101
State,Indiana,Overall,Overall,Up-to-date,Received a vaccination,October,,21,3.1,910,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Indiana, Overall",17.9 - 24.1,1,1,1,27,1,1270101
State,Iowa,Overall,Overall,Up-to-date,Received a vaccination,October,,26.2,4.4,591,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Iowa, Overall",21.8 - 30.6,1,1,1,28,1,1280101
State,Kansas,Overall,Overall,Up-to-date,Received a vaccination,October,,23.8,3.4,825,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Kansas, Overall",20.4 - 27.2,1,1,1,29,1,1290101
State,Kentucky,Overall,Overall,Up-to-date,Received a vaccination,October,,24.6,3.3,866,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Kentucky, Overall",21.3 - 27.9,1,1,1,30,1,1300101
State,Louisiana,Overall,Overall,Up-to-date,Received a vaccination,October,,16.6,2.5,1216,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Louisiana, Overall",14.1 - 19.1,1,1,1,31,1,1310101
State,Maine,Overall,Overall,Up-to-date,Received a vaccination,October,,27.3,3.3,989,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Maine, Overall",24 - 30.6,1,1,1,32,1,1320101
State,Maryland,Overall,Overall,Up-to-date,Received a vaccination,October,,29.9,3.9,1140,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Maryland, Overall",26 - 33.8,1,1,1,33,1,1330101
State,Massachusetts,Overall,Overall,Up-to-date,Received a vaccination,October,,33,4.6,923,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Massachusetts, Overall",28.4 - 37.6,1,1,1,34,1,1340101
State,Michigan,Overall,Overall,Up-to-date,Received a vaccination,October,,29.5,4.8,578,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Michigan, Overall",24.7 - 34.3,1,1,1,35,1,1350101
State,Minnesota,Overall,Overall,Up-to-date,Received a vaccination,October,,28.1,2.9,1431,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Minnesota, Overall",25.2 - 31,1,1,1,36,1,1360101
State,Mississippi,Overall,Overall,Up-to-date,Received a vaccination,October,,16,2,1630,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Mississippi, Overall",14 - 18,1,1,1,37,1,1370101
State,Missouri,Overall,Overall,Up-to-date,Received a vaccination,October,,31.2,4.6,712,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Missouri, Overall",26.6 - 35.8,1,1,1,38,1,1380101
State,Montana,Overall,Overall,Up-to-date,Received a vaccination,October,,21.3,2.3,1440,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Montana, Overall",19 - 23.6,1,1,1,39,1,1390101
State,Nebraska,Overall,Overall,Up-to-date,Received a vaccination,October,,25.5,2.9,1038,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Nebraska, Overall",22.6 - 28.4,1,1,1,40,1,1400101
State,Nevada,Overall,Overall,Up-to-date,Received a vaccination,October,,23.6,3.1,946,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Nevada, Overall",20.5 - 26.7,1,1,1,41,1,1410101
State,New Hampshire,Overall,Overall,Up-to-date,Received a vaccination,October,,26,2.8,1223,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, New Hampshire, Overall",23.2 - 28.8,1,1,1,42,1,1420101
State,New Jersey,Overall,Overall,Up-to-date,Received a vaccination,October,,23.1,2.8,1313,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, New Jersey, Overall",20.3 - 25.9,1,1,1,43,1,1430101
State,New Mexico,Overall,Overall,Up-to-date,Received a vaccination,October,,22.7,2.4,1465,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, New Mexico, Overall",20.3 - 25.1,1,1,1,44,1,1440101
State,New York,Overall,Overall,Up-to-date,Received a vaccination,October,,25.1,2.5,1975,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, New York, Overall",22.6 - 27.6,1,1,1,45,1,1450101
State,North Carolina,Overall,Overall,Up-to-date,Received a vaccination,October,,20.1,3.5,942,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, North Carolina, Overall",16.6 - 23.6,1,1,1,46,1,1460101
State,North Dakota,Overall,Overall,Up-to-date,Received a vaccination,October,,27,2.7,1305,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, North Dakota, Overall",24.3 - 29.7,1,1,1,47,1,1470101
State,Ohio,Overall,Overall,Up-to-date,Received a vaccination,October,,26.3,7.2,384,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Ohio, Overall",19.1 - 33.5,1,1,1,48,1,1480101
State,Oklahoma,Overall,Overall,Up-to-date,Received a vaccination,October,,19.2,2.2,1470,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Oklahoma, Overall",17 - 21.4,1,1,1,49,1,1490101
State,Oregon,Overall,Overall,Up-to-date,Received a vaccination,October,,24.5,3.4,880,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Oregon, Overall",21.1 - 27.9,1,1,1,50,1,1500101
State,Pennsylvania,Overall,Overall,Up-to-date,Received a vaccination,October,,28.6,3.8,1770,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Pennsylvania, Overall",24.8 - 32.4,1,1,1,51,1,1510101
State,Rhode Island,Overall,Overall,Up-to-date,Received a vaccination,October,,27.5,4.3,604,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Rhode Island, Overall",23.2 - 31.8,1,1,1,53,1,1530101
State,South Carolina,Overall,Overall,Up-to-date,Received a vaccination,October,,22.8,2.7,1289,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, South Carolina, Overall",20.1 - 25.5,1,1,1,54,1,1540101
State,South Dakota,Overall,Overall,Up-to-date,Received a vaccination,October,,25.7,2.4,1453,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, South Dakota, Overall",23.3 - 28.1,1,1,1,55,1,1550101
State,Tennessee,Overall,Overall,Up-to-date,Received a vaccination,October,,20.4,4.8,551,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Tennessee, Overall",15.6 - 25.2,1,1,1,56,1,1560101
State,Texas,Overall,Overall,Up-to-date,Received a vaccination,October,,21.6,1.9,4401,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Texas, Overall",19.7 - 23.5,1,1,1,57,1,1570101
State,Utah,Overall,Overall,Up-to-date,Received a vaccination,October,,27.1,6.4,437,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Utah, Overall",20.7 - 33.5,1,1,1,58,1,1580101
State,Vermont,Overall,Overall,Up-to-date,Received a vaccination,October,,25.8,2.8,1231,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Vermont, Overall",23 - 28.6,1,1,1,59,1,1590101
State,Virginia,Overall,Overall,Up-to-date,Received a vaccination,October,,24.5,4.1,1164,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Virginia, Overall",20.4 - 28.6,1,1,1,61,1,1610101
State,Washington,Overall,Overall,Up-to-date,Received a vaccination,October,,22.4,5.7,581,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Washington, Overall",16.7 - 28.1,1,1,1,62,1,1620101
State,West Virginia,Overall,Overall,Up-to-date,Received a vaccination,October,,20.2,3,996,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, West Virginia, Overall",17.2 - 23.2,1,1,1,63,1,1630101
State,Wisconsin,Overall,Overall,Up-to-date,Received a vaccination,October,,25.4,3.1,1112,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Wisconsin, Overall",22.3 - 28.5,1,1,1,64,1,1640101
State,Wyoming,Overall,Overall,Up-to-date,Received a vaccination,October,,19.5,2.1,1398,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Wyoming, Overall",17.4 - 21.6,1,1,1,65,1,1650101
State,Virgin Islands,Overall,Overall,Up-to-date,Received a vaccination,October,,5.9,2.3,790,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Virgin Islands, Overall",3.6 - 8.2,1,1,1,60,1,1600101
State,Puerto Rico,Overall,Overall,Up-to-date,Received a vaccination,October,,13.4,1.8,2130,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Puerto Rico, Overall",11.6 - 15.2,1,1,1,52,1,1520101
Region,Region 1,Overall,Overall,Up-to-date,Received a vaccination,October,,29.7,2.4,5730,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Region 1, Overall",27.3 - 32.1,1,1,1,2,1,1020101
Region,Region 2,Overall,Overall,Up-to-date,Received a vaccination,October,,23,1.7,6208,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Region 2, Overall",21.3 - 24.7,1,1,1,3,1,1030101
Region,Region 3,Overall,Overall,Up-to-date,Received a vaccination,October,,27.1,2.1,7333,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Region 3, Overall",25 - 29.2,1,1,1,4,1,1040101
Region,Region 4,Overall,Overall,Up-to-date,Received a vaccination,October,,20,1.5,8666,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Region 4, Overall",18.5 - 21.5,1,1,1,5,1,1050101
Region,Region 5,Overall,Overall,Up-to-date,Received a vaccination,October,,25.2,2.1,6490,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Region 5, Overall",23.1 - 27.3,1,1,1,6,1,1060101
Region,Region 6,Overall,Overall,Up-to-date,Received a vaccination,October,,20.8,1.3,9421,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Region 6, Overall",19.5 - 22.1,1,1,1,7,1,1070101
Region,Region 7,Overall,Overall,Up-to-date,Received a vaccination,October,,28.1,2.6,3166,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Region 7, Overall",25.5 - 30.7,1,1,1,8,1,1080101
Region,Region 8,Overall,Overall,Up-to-date,Received a vaccination,October,,26,2.3,7189,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Region 8, Overall",23.7 - 28.3,1,1,1,9,1,1090101
Region,Region 9,Overall,Overall,Up-to-date,Received a vaccination,October,,26.1,2.2,5266,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Region 9, Overall",23.9 - 28.3,1,1,1,10,1,1100101
Region,Region 10,Overall,Overall,Up-to-date,Received a vaccination,October,,23.4,3.4,2773,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, Region 10, Overall",20 - 26.8,1,1,1,11,1,1110101
National,National,Age,18-29 years,Up-to-date,Received a vaccination,October,,15.6,1.4,10419,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Age (6 Level): 18-29 years",14.2 - 17,1,4,2,1,1,1010402
National,National,Age,30-39 years,Up-to-date,Received a vaccination,October,,16.4,1.3,9579,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Age (6 Level): 30-39 years",15.1 - 17.7,1,4,4,1,1,1010404
National,National,Age,40-49 years,Up-to-date,Received a vaccination,October,,19.5,1.7,9199,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Age (6 Level): 40-49 years",17.8 - 21.2,1,4,5,1,1,1010405
National,National,Age,50-64 years,Up-to-date,Received a vaccination,October,,24.5,1.3,17994,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Age (3 Level): 50-64 years",23.2 - 25.8,1,3,6,1,1,1010306
National,National,Age,65-74 years,Up-to-date,Received a vaccination,October,,39.9,2.2,10250,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Age (6 Level): 65-74 years",37.7 - 42.1,1,4,8,1,1,1010408
National,National,Age,75+ years,Up-to-date,Received a vaccination,October,,43.2,3,4801,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Age (6 Level): 75+ years",40.2 - 46.2,1,4,12,1,1,1010412
National,National,Age,18-49 years,Up-to-date,Received a vaccination,October,,17,0.8,29197,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Age (3 Level): 18-49 years",16.2 - 17.8,1,3,3,1,1,1010303
National,National,Age,60+ years,Up-to-date,Received a vaccination,October,,36.9,1.4,21777,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Age (1 Level): 60+ years",35.5 - 38.3,1,2,10,1,1,1010210
National,National,Age,65+ years,Up-to-date,Received a vaccination,October,,41.2,1.8,15051,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Age (3 Level): 65+ years",39.4 - 43,1,3,11,1,1,1010311
National,National,Race/Ethnicity,"White, Non-Hispanic",Up-to-date,Received a vaccination,October,,26.2,0.9,39442,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Race/Ethnicity: White, Non-Hispanic",25.3 - 27.1,1,10,29,1,1,1011029
National,National,Race/Ethnicity,"Black, Non-Hispanic",Up-to-date,Received a vaccination,October,,19.5,1.9,6718,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Race/Ethnicity: Black, Non-Hispanic",17.6 - 21.4,1,10,24,1,1,1011024
National,National,Race/Ethnicity,Hispanic,Up-to-date,Received a vaccination,October,,18.9,1.7,8169,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Race/Ethnicity: Hispanic",17.2 - 20.6,1,10,25,1,1,1011025
National,National,Race/Ethnicity,"Asian, Non-Hispanic",Up-to-date,Received a vaccination,October,,28.7,3.7,2731,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Race/Ethnicity: Asian, Non-HIspanic",25 - 32.4,1,10,23,1,1,1011023
National,National,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic",Up-to-date,Received a vaccination,October,,24.3,7.4,865,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Race/Ethnicity: American Indian/Alaska Native, Non-HIspanic",16.9 - 31.7,1,10,22,1,1,1011022
National,National,Race/Ethnicity,"Pacific Islander/Native Hawaiian, Non-Hispanic",Up-to-date,Received a vaccination,October,,16.3,6.1,336,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Race/Ethnicity: Pacific-Islander/Native Hawaiian, Non-HIspani",10.2 - 22.4,1,10,28,1,1,1011028
National,National,Race/Ethnicity,"Other, Non-Hispanic",Up-to-date,Received a vaccination,October,,18.6,3.7,2182,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Race/Ethnicity: Other, Non-HIspanic",14.9 - 22.3,1,10,27,1,1,1011027
National,National,Disability Status,Yes,Up-to-date,Received a vaccination,October,,29,2.5,6111,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Disability Status: Yes",26.5 - 31.5,1,6,37,1,1,1010637
National,National,Disability Status,No,Up-to-date,Received a vaccination,October,,23.4,0.7,55988,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Disability Status: No",22.7 - 24.1,1,6,38,1,1,1010638
National,National,Health Insurance,Insured,Up-to-date,Received a vaccination,October,,25.8,0.7,55665,0,10/14/2023 12:00:00 AM,2021-2022,"2021-2022, National, Health Insurance: Insured",25.1 - 26.5,1,8,16,1,1,1010816
