Geography_Name,Geography_Level,Demographic_Level,Demographic_Name,Indicator_Label,Indicator Category Label,Influenza_Season,Month_Week,Week_Ending,Current_Season_Week_Ending_Label,Point_Estimate,CI_HalfWidth,n_unweighted,n_weighted,Suppression_Flag,Legend_Label,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,geography_name_order,geography_level_sort_order,Season_Sort,Legend_Sort
National,National,Age,5-12 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3922,1.9697,15943,32209456,0,"2023-2024, National. Age: 5-12 years",37.2 - 41.2,1,2,8,1,1,1,1010208
National,National,Age,5-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3616,1.5019,24110,53747078,0,"2023-2024, National. Age: 5-17 years",34.7 - 37.7,1,2,5,1,1,1,1010205
Region 3,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4413,2.9082,6159,6342487,0,"2023-2024, Region 3. Overall (6 months-17 years)",41.2 - 47.0,1,1,1,4,2,1,1040101
Region 4,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3231,3.0979,4811,14128072,0,"2023-2024, Region 4. Overall (6 months-17 years)",29.2 - 35.4,1,1,1,5,2,1,1050101
Region 5,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3636,2.8994,4204,11216921,0,"2023-2024, Region 5. Overall (6 months-17 years)",33.5 - 39.3,1,1,1,6,2,1,1060101
Region 6,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3595,3.136,4692,10357816,0,"2023-2024, Region 6. Overall (6 months-17 years)",32.8 - 39.1,1,1,1,7,2,1,1070101
Region 9,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3995,4.4406,3282,10805570,0,"2023-2024, Region 9. Overall (6 months-17 years)",35.5 - 44.4,1,1,1,10,2,1,1100101
Alabama,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3335,6.6597,652,3130541,0,"2023-2024, Alabama. Overall (6 months-17 years)",26.7 - 40.0,1,1,1,12,3,1,1120101
Alaska,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,429,35320,1,"2023-2024, Alaska. Overall (6 months-17 years)", - ,1,1,1,13,3,1,1130101
Arizona,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3249,5.5847,921,2528238,0,"2023-2024, Arizona. Overall (6 months-17 years)",26.9 - 38.1,1,1,1,14,3,1,1140101
Arkansas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,420,337962,1,"2023-2024, Arkansas. Overall (6 months-17 years)", - ,1,1,1,15,3,1,1150101
Colorado,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.441,6.3801,780,1900426,0,"2023-2024, Colorado. Overall (6 months-17 years)",37.7 - 50.5,1,1,1,17,3,1,1170101
Connecticut,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.538,12.6789,391,172402,0,"2023-2024, Connecticut. Overall (6 months-17 years)",41.1 - 66.5,1,1,1,18,3,1,1180101
Delaware,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4207,7.0339,606,270782,0,"2023-2024, Delaware. Overall (6 months-17 years)",35.0 - 49.1,1,1,1,19,3,1,1190101
District of Columbia,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.5222,6.5927,892,237123,0,"2023-2024, District of Columbia. Overall (6 months-17 years)",45.6 - 58.8,1,1,1,20,3,1,1200101
Florida,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3361,9.0028,578,2245273,0,"2023-2024, Florida. Overall (6 months-17 years)",24.6 - 42.6,1,1,1,21,3,1,1210101
Georgia,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3502,8.529,465,2089444,0,"2023-2024, Georgia. Overall (6 months-17 years)",26.5 - 43.6,1,1,1,22,3,1,1220101
Hawaii,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3589,5.9882,755,195523,0,"2023-2024, Hawaii. Overall (6 months-17 years)",29.9 - 41.9,1,1,1,24,3,1,1240101
Maine,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4165,6.888,698,357962,0,"2023-2024, Maine. Overall (6 months-17 years)",34.8 - 48.5,1,1,1,32,3,1,1320101
Maryland,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4827,6.8729,1042,551521,0,"2023-2024, Maryland. Overall (6 months-17 years)",41.4 - 55.1,1,1,1,33,3,1,1330101
Massachusetts,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.5112,6.4126,812,1922199,0,"2023-2024, Massachusetts. Overall (6 months-17 years)",44.7 - 57.5,1,1,1,34,3,1,1340101
Michigan,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3294,7.6917,499,750346,0,"2023-2024, Michigan. Overall (6 months-17 years)",25.2 - 40.6,1,1,1,35,3,1,1350101
Minnesota,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.371,7.5946,530,1825255,0,"2023-2024, Minnesota. Overall (6 months-17 years)",29.5 - 44.7,1,1,1,36,3,1,1360101
Mississippi,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,420,324955,1,"2023-2024, Mississippi. Overall (6 months-17 years)", - ,1,1,1,37,3,1,1370101
Missouri,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,409,466599,1,"2023-2024, Missouri. Overall (6 months-17 years)", - ,1,1,1,38,3,1,1380101
Montana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.2944,7.5899,593,391874,0,"2023-2024, Montana. Overall (6 months-17 years)",21.8 - 37.0,1,1,1,39,3,1,1390101
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1561,1.2281,10568,25255452,0,"2023-2024, National. Age: 12-17 years",14.4 - 16.8,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1729,1.3122,10568,26027138,0,"2023-2024, National. Age: 12-17 years",16.0 - 18.6,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2148,1.633,10568,25573242,0,"2023-2024, National. Age: 12-17 years",19.8 - 23.1,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2268,1.8457,10568,26055442,0,"2023-2024, National. Age: 12-17 years",20.8 - 24.5,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.297,1.8068,10568,25347477,0,"2023-2024, National. Age: 12-17 years",27.9 - 31.5,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3131,1.9308,10568,25477408,0,"2023-2024, National. Age: 12-17 years",29.4 - 33.2,1,2,7,1,1,1,1010207
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1486,1.3572,8167,21657357,0,"2023-2024, National. Age: 13-17 years",13.5 - 16.2,1,2,9,1,1,1,1010209
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1642,1.4291,8167,21511625,0,"2023-2024, National. Age: 13-17 years",15.0 - 17.8,1,2,9,1,1,1,1010209
National,National,Age,5-11 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2736,1.8055,13542,27891727,0,"2023-2024, National. Age: 5-11 years",25.6 - 29.2,1,2,6,1,1,1,1010206
National,National,Age,5-11 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3378,1.7174,13542,28564997,0,"2023-2024, National. Age: 5-11 years",32.1 - 35.5,1,2,6,1,1,1,1010206
National,National,Age,5-11 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3577,1.8498,13542,28410395,0,"2023-2024, National. Age: 5-11 years",33.9 - 37.6,1,2,6,1,1,1,1010206
National,National,Age,5-12 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1859,1.1007,15943,32255117,0,"2023-2024, National. Age: 5-12 years",17.5 - 19.7,1,2,8,1,1,1,1010208
National,National,Age,5-12 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.219,1.335,15943,32541063,0,"2023-2024, National. Age: 5-12 years",20.6 - 23.2,1,2,8,1,1,1,1010208
National,National,Age,5-12 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2544,1.4575,15943,32585579,0,"2023-2024, National. Age: 5-12 years",24.0 - 26.9,1,2,8,1,1,1,1010208
National,National,Age,5-12 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2746,1.6541,15943,32351999,0,"2023-2024, National. Age: 5-12 years",25.8 - 29.1,1,2,8,1,1,1,1010208
National,National,Age,6 months-4 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2406,1.5626,11901,16696797,0,"2023-2024, National. Age: 6 months-4 years",22.5 - 25.6,1,2,3,1,1,1,1010203
National,National,Age,6 months-4 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2721,1.7107,11901,16410850,0,"2023-2024, National. Age: 6 months-4 years",25.5 - 28.9,1,2,3,1,1,1,1010203
National,National,Age,6 months-4 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.3114,2.0605,11901,16366335,0,"2023-2024, National. Age: 6 months-4 years",29.1 - 33.2,1,2,3,1,1,1,1010203
National,National,Age,6 months-4 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.3288,2.2339,11901,16599914,0,"2023-2024, National. Age: 6 months-4 years",30.6 - 35.1,1,2,3,1,1,1,1010203
National,National,Age,6 months-4 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.399,2.1695,11901,16694645,0,"2023-2024, National. Age: 6 months-4 years",37.7 - 42.1,1,2,3,1,1,1,1010203
National,National,Age,6 months-4 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.4231,2.3271,11901,16697791,0,"2023-2024, National. Age: 6 months-4 years",40.0 - 44.6,1,2,3,1,1,1,1010203
National,National,Age,6-23 months,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2946,2.9138,3800,5430374,0,"2023-2024, National. Age: 6-23 months",26.5 - 32.4,1,2,4,1,1,1,1010204
National,National,Mother's Education,>= College degree,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2871,1.5848,18064,33194756,0,"2023-2024, National. Mother's Education: >= College degree",27.1 - 30.3,1,3,13,1,1,1,1010313
National,National,Mother's Education,>= College degree,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.307,1.7949,18064,33064843,0,"2023-2024, National. Mother's Education: >= College degree",28.9 - 32.5,1,3,13,1,1,1,1010313
National,National,Mother's Education,>= College degree,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3909,1.6793,18064,33936044,0,"2023-2024, National. Mother's Education: >= College degree",37.4 - 40.8,1,3,13,1,1,1,1010313
National,National,Mother's Education,>= College degree,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.4184,1.8355,18064,33386939,0,"2023-2024, National. Mother's Education: >= College degree",40.0 - 43.7,1,3,13,1,1,1,1010313
National,National,Mother's Education,High school or equivalent,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1884,1.8381,5889,10875634,0,"2023-2024, National. Mother's Education: High school or equivalent",17.0 - 20.7,1,3,11,1,1,1,1010311
National,National,Mother's Education,High school or equivalent,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2073,2.054,5889,13272926,0,"2023-2024, National. Mother's Education: High school or equivalent",18.7 - 22.8,1,3,11,1,1,1,1010311
National,National,Mother's Education,High school or equivalent,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2257,2.1911,5889,12106004,0,"2023-2024, National. Mother's Education: High school or equivalent",20.4 - 24.8,1,3,11,1,1,1,1010311
National,National,Mother's Education,Less than high school,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2397,3.2452,2035,5064248,0,"2023-2024, National. Mother's Education: Less than high school",20.7 - 27.2,1,3,10,1,1,1,1010310
National,National,Mother's Education,Less than high school,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3116,4.0054,2035,5081411,0,"2023-2024, National. Mother's Education: Less than high school",27.2 - 35.2,1,3,10,1,1,1,1010310
National,National,Mother's Education,Less than high school,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3118,4.0053,2035,4317330,0,"2023-2024, National. Mother's Education: Less than high school",27.2 - 35.2,1,3,10,1,1,1,1010310
National,National,Mother's Education,Some college,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1575,1.4891,7985,15870738,0,"2023-2024, National. Mother's Education: Some college",14.3 - 17.2,1,3,12,1,1,1,1010312
National,National,Mother's Education,Some college,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1757,1.582,7985,14802826,0,"2023-2024, National. Mother's Education: Some college",16.0 - 19.2,1,3,12,1,1,1,1010312
National,National,Mother's Education,Some college,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2045,1.9008,7985,15947128,0,"2023-2024, National. Mother's Education: Some college",18.5 - 22.3,1,3,12,1,1,1,1010312
National,National,Mother's Education,Some college,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2209,2.1592,7985,15061614,0,"2023-2024, National. Mother's Education: Some college",19.9 - 24.2,1,3,12,1,1,1,1010312
National,National,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3587,1.1988,36011,70585594,0,"2023-2024, National. Overall (6 months-17 years)",34.7 - 37.1,1,1,1,1,1,1,1010101
National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1868,1.5307,8187,15240890,0,"2023-2024, National. Poverty Status: Above Poverty, Income < $75k",17.1 - 20.2,1,4,15,1,1,1,1010415
National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1992,1.6019,8187,15279209,0,"2023-2024, National. Poverty Status: Above Poverty, Income < $75k",18.3 - 21.5,1,4,15,1,1,1,1010415
National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2216,1.7445,8187,17175943,0,"2023-2024, National. Poverty Status: Above Poverty, Income < $75k",20.4 - 23.9,1,4,15,1,1,1,1010415
National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2308,1.9556,8187,16282615,0,"2023-2024, National. Poverty Status: Above Poverty, Income < $75k",21.1 - 25.0,1,4,15,1,1,1,1010415
National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2933,2.1109,8187,16929630,0,"2023-2024, National. Poverty Status: Above Poverty, Income < $75k",27.2 - 31.4,1,4,15,1,1,1,1010415
National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3032,2.1854,8187,15448206,0,"2023-2024, National. Poverty Status: Above Poverty, Income < $75k",28.1 - 32.5,1,4,15,1,1,1,1010415
National,National,Poverty Status,Below Poverty,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2084,2.1655,4405,11325630,0,"2023-2024, National. Poverty Status: Below Poverty",18.7 - 23.0,1,4,16,1,1,1,1010416
National,National,Poverty Status,Below Poverty,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2226,2.198,4405,11233604,0,"2023-2024, National. Poverty Status: Below Poverty",20.1 - 24.5,1,4,16,1,1,1,1010416
National,National,Poverty Status,Below Poverty,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2558,2.7971,4405,10456131,0,"2023-2024, National. Poverty Status: Below Poverty",22.8 - 28.4,1,4,16,1,1,1,1010416
National,National,Poverty Status,Below Poverty,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.28,3.2648,4405,10006020,0,"2023-2024, National. Poverty Status: Below Poverty",24.7 - 31.3,1,4,16,1,1,1,1010416
National,National,Poverty Status,Below Poverty,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3126,2.8739,4405,10387321,0,"2023-2024, National. Poverty Status: Below Poverty",28.4 - 34.1,1,4,16,1,1,1,1010416
National,National,Poverty Status,Below Poverty,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3173,2.8982,4405,9213288,0,"2023-2024, National. Poverty Status: Below Poverty",28.8 - 34.6,1,4,16,1,1,1,1010416
National,National,Poverty Status,Poverty Status Unknown,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1919,2.1654,4623,10513977,0,"2023-2024, National. Poverty Status: Poverty Status Unknown",17.0 - 21.4,1,4,17,1,1,1,1010417
National,National,Race/Ethnicity,"Black, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2042,2.3384,3547,9799285,0,"2023-2024, National. Race/Ethnicity: Black, Non-Hispanic",18.1 - 22.8,1,5,18,1,1,1,1010518
National,National,Race/Ethnicity,"Black, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2196,2.6451,3547,9772630,0,"2023-2024, National. Race/Ethnicity: Black, Non-Hispanic",19.3 - 24.6,1,5,18,1,1,1,1010518
National,National,Race/Ethnicity,"Black, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.2878,2.9652,3547,9799286,0,"2023-2024, National. Race/Ethnicity: Black, Non-Hispanic",25.8 - 31.7,1,5,18,1,1,1,1010518
National,National,Race/Ethnicity,"Black, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.2976,2.9812,3547,9789074,0,"2023-2024, National. Race/Ethnicity: Black, Non-Hispanic",26.8 - 32.7,1,5,18,1,1,1,1010518
National,National,Race/Ethnicity,Hispanic,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2279,1.7156,7345,18308723,0,"2023-2024, National. Race/Ethnicity: Hispanic",21.1 - 24.5,1,5,19,1,1,1,1010519
National,National,Race/Ethnicity,Hispanic,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.249,1.866,7345,18273272,0,"2023-2024, National. Race/Ethnicity: Hispanic",23.0 - 26.8,1,5,19,1,1,1,1010519
National,National,Race/Ethnicity,Hispanic,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2842,2.2015,7345,18298049,0,"2023-2024, National. Race/Ethnicity: Hispanic",26.2 - 30.6,1,5,19,1,1,1,1010519
National,National,Race/Ethnicity,"Other, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3737,3.0632,5395,7986790,0,"2023-2024, National. Race/Ethnicity: Other, Non-Hispanic",34.3 - 40.4,1,5,21,1,1,1,1010521
National,National,Race/Ethnicity,"Other, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3857,3.1641,5395,7980114,0,"2023-2024, National. Race/Ethnicity: Other, Non-Hispanic",35.4 - 41.7,1,5,21,1,1,1,1010521
National,National,Race/Ethnicity,"White, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1624,0.9655,19724,34514472,0,"2023-2024, National. Race/Ethnicity: White, Non-Hispanic",15.3 - 17.2,1,5,20,1,1,1,1010520
